"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.248,no data,no data,no data,no data,no data,no data,no data
United Kingdom,604.697,588.342,559.326,532.925,504.939,537.2,655.035,814.102,989.706,1007.623,1197.021,1248.625,1289.587,1155.162,1241.72,1344.504,1421.099,1561.239,1653.852,1688.248,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3371.118,3644.636,3839.18,4040.844,4239.513,4457.367,4701.933,4955.988
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21539.975,21354.125,23681.175,26006.9,27720.725,29184.9,30507.217,31717.641,32941.71,34342.132,35712.824,37153.089
Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.37,62.229,53.557,60.742,70.6,77.997,80.961,79.731,85.164,90.702,96.223,101.236,106.344
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,69.703,58.696,67.294,66.443,77.34,90.125,102.634,114.962,132.484,148.177,164.155,181.768,201.53,223.185
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.775,0.774,0.798,0.88,0.928,0.93,1.008,0.921,1.072,1.158,1.206,1.267,1.335,1.4,1.463,1.529,1.598
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.014,42.838,56.615,89.013,102.377,119.808,108.511,101.02,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,411.068,433.008,459.472,490.97,518.999,553.437,589.412,626.91,666.539
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,17.848,no data,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,20.22,19.394,23.534,19.412,19.101,17.401,17.285,18.762,21.713,23.602,25.717
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.138,22.096,29.164,27.578,26.326,28.91,34.237,40.161,43.668,47.092,50.669
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.143,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.768,11.34,11.243,10.734,9.573,9.465,9.045,8.141,7.784,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.549,22.04,36.922,26.033,26.878,36.016,32.613,35.144,35.224,38.172,39.491,40.925,42.34,43.836,45.384
Africa (Region),474.247,483.634,489.398,472.309,413.733,407.292,446.536,500.144,530.542,570.043,664.441,613.584,614.192,614.205,601.288,713.36,796.521,826.89,835.345,692.858,712.056,690.259,705.717,851.498,1020.275,1196.742,1382.944,1611.471,1887.179,1799.158,2101.353,2349.294,2510.6,2606.332,2708.659,2467.726,2342.983,2363.977,2519.378,2603.548,2492.652,2779.354,3003.456,2880.22,2782.991,2834.002,3004.291,3214.521,3448.926,3708.692,3987.805
Asia and Pacific,2364.433,2528.692,2460.485,2614.775,2772.351,2825.692,3601.111,4274.629,5098.529,5301.801,5527.741,6097.116,6682.871,7527.631,8167.299,9283.798,9065.68,8722.135,7890.658,8764.121,9387.263,8764.558,9003.619,10053.703,11342.759,12271.181,13145.426,15031.838,17015.572,17480.434,20413.798,23523.697,24998.277,25403.388,26344.932,26160.794,27258.421,29226.476,31405.196,32148.283,32218.095,37000.786,36971.597,37623.032,38761.881,40002.759,42268.908,44938.113,47832.533,50690.62,53721.826
Australia and New Zealand,185.476,211.882,210.286,201.962,219.513,196.923,208.905,250.078,316.593,352.533,369.85,367.877,359.52,354.11,406.292,441.468,493.763,495.27,438.313,470.866,454.405,431.242,487.577,623.563,760.342,849.768,893.186,1084.953,1192.165,1122.839,1400.358,1682.673,1745.5,1707.192,1657.243,1410.375,1448.735,1584.929,1626.909,1597.272,1573.154,1905.617,1970.664,1995.897,2054.532,2020.347,2100.162,2185.114,2277.087,2377.477,2488.089
Caribbean,18.197,19.902,21.967,21.893,21.91,22.36,21.339,20.261,20.676,22.277,22.635,22.527,22.294,23.013,26.121,31.91,34.474,37.259,40.12,42.755,44.957,45.354,47.05,48.629,53.92,61.043,66.642,75.386,84.984,74.794,80.112,86.797,91.296,93.817,95.769,93.875,88.646,92.175,95.994,95.57,83.629,99.881,117.208,121.087,139.36,151.777,161.094,169.523,181.42,192.132,199.039
Central America,35.209,35.229,35.787,37.585,44.79,38.87,38.316,37.983,36.255,40.982,37.458,46.358,52.374,57.175,62.432,69.567,74.434,81.209,87.95,89.148,94.402,99.668,105.104,103.013,110.196,132.112,144.738,164.763,185.563,185.513,206.459,231.786,249.979,265.174,282.781,302.768,319.565,337.51,351.068,364.833,336.653,385.096,434.058,481.186,512.253,539.346,573.033,611.508,652.676,696.371,743.302
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.662,273.278,212.873,280.721,303.837,319.492,336.217,310.505,329.879,264.633,309.054,401.816,516.452,644.893,739.176,928.983,1083.182,929.075,1110.783,1257.357,1335.139,1457.59,1440.528,1295.414,1230.663,1244.927,1196.888,1178.37,1114.925,1263.299,1459.952,1743.994,1969.351,2134.648,2154.37,2289.503,2461.38,2626.116,2793.804
East Asia,1573.319,1691.601,1608.572,1753.621,1857.826,1944.104,2664.428,3221.043,3930.852,4048.446,4121.555,4683.796,5171.88,5922.096,6437.068,7294.684,6876.917,6532.22,5980.623,6723.165,7289.96,6763.661,6794.383,7409.35,8212.657,8686.66,9076.872,10035.442,11494.283,12057.988,13770.89,15908.146,17061.16,17231.003,17993.677,18146.89,18905.591,20088.772,21961.723,22432.244,22936.996,26333.47,25510.775,25481.294,25857.067,26463.149,27915.52,29532.776,31247.165,32838.165,34500.245
Eastern Europe ,165.8,175.921,189.828,192.091,184.922,182.992,188.869,193.068,228.407,222.481,167.524,149.076,291.935,454.427,600.28,773.646,891.009,938.794,818.886,705.661,767.384,868.659,981.696,1198.001,1526.03,1866.434,2263.406,2926.721,3658.547,2861.538,3239.222,3836.097,3892.489,4073.886,3835.423,2891.928,2837.238,3313.185,3620.634,3719.82,3506.005,4166.698,4634.78,4753.23,5060.434,5147.95,5336.042,5580.353,5839.499,6111.631,6397.98
Europe,4006.434,3606.913,3492.27,3403.246,3270.342,3384.637,4555.499,5596.25,6265.682,6365.189,7794.324,8262.139,9114.834,8472.556,9111.503,10538.66,10840.928,10295.263,10467.27,10375.233,9761.831,9928.933,10854.853,13181.459,15316.89,16237.169,17555.315,20466.821,22508.749,19786.703,20109.477,22154.5,21198.595,22094.231,22453.726,19283.312,19285.982,20520.329,22132.564,21857.679,21155.28,24240.007,24268.388,25877.529,27128.264,27872.467,28984.897,30090.035,31255.988,32469,33733.838
Middle East (Region),365.795,429.408,417.245,425.324,421.959,423.827,430.427,520.223,550.433,626.986,885.271,625.687,405.073,426.124,474.634,534.385,616.183,662.768,657.188,764.066,969.023,920.183,734.852,821.288,981.101,1197.715,1413.194,1680.324,2109.044,1868.761,2217.607,2659.313,2633.542,2747.502,2829.794,2461.719,2491.635,2678.358,2802.247,2715.792,2344.315,2839.234,3492.967,3378.352,3493.894,3468.526,3613.85,3836.159,4056.187,4270.775,4496.668
North Africa,143.043,137.188,142.105,148.661,153.868,171.096,177.022,203.441,213.624,239.819,241.68,183.912,187.334,187.729,186.731,205.495,227.924,233.893,240.52,254.299,268.245,262.741,242.89,270.813,306.06,351.346,406.423,474.108,585.135,555.528,630.281,672.055,767.824,772.539,787.365,742.524,738.053,664.69,704.372,751.318,758.04,833.202,919.769,878.553,898.593,885.837,941.659,1003.831,1071.881,1144.428,1221.836
North America,3389.979,3841.238,3900.909,4177.174,4630.542,4955.745,5140.043,5487.108,5985.876,6497.755,6897.431,7171.698,7576.992,8004.758,8460.472,8668.52,9181.222,9804.197,10308.4,10998.673,11799.344,12186.616,12572.461,13193.433,14143.43,15214.191,16242.497,17135.025,17577.907,16894.382,17870.126,18722.417,19438.988,20157.157,20880.829,21168.178,21549.466,22555.533,23739.083,24692.932,24234.006,27126.553,29777.343,31805.766,33399.855,34547.72,35950.275,37369.549,38975.123,40559.424,42235.269
Pacific Islands ,5.925,5.89,5.639,5.535,5.337,4.991,5.437,5.707,7.229,7.165,6.952,7.91,9.035,10.063,11.104,10.519,11.244,10.921,8.646,8.468,8.233,7.516,7.538,9.306,10.749,12.325,13.609,15.376,17.947,17.124,20.364,25.221,28.926,29.293,31.617,29.941,29.338,32.014,33.829,34.368,32.418,34.511,40.88,40.729,42.501,44.297,45.979,47.979,49.857,51.68,53.795
South America,581.096,583.981,494.458,463.468,454.181,500.145,564.531,599.011,667.453,731.017,812.063,833.763,891.88,963.205,1146.486,1433.863,1538.986,1636.37,1615.772,1303.779,1378.406,1266.259,996.146,1073.371,1296.606,1656.004,2014.188,2505.398,3045.338,2933.096,3763.582,4404.926,4451.696,4433.436,4317.657,3521.697,3420.213,3874.403,3654.179,3476.105,2856.768,3322.081,3837.517,4196.152,4256.195,4300.097,4455.228,4642.937,4838.812,5081.433,5351.968
South Asia,257.208,273.45,283.385,298.216,300.023,323.764,341.535,377.641,405.016,412.495,442.076,402.844,427.363,424.648,478.2,532.32,574.63,600.928,608.772,642.835,657.303,671.957,706.543,823.201,953.157,1085.315,1234.373,1549.237,1576.976,1719.755,2091.433,2301.644,2334.427,2399.452,2628.508,2752.933,2992.83,3415.077,3516.116,3639.45,3473.194,4065.419,4305.961,4561.912,4885.765,5216.941,5683.126,6234.363,6840.478,7516.43,8254.926
Southeast Asia,245.909,248.004,263.685,270.473,307.009,263.083,278.469,301.233,313.807,333.435,379.801,426.286,484.41,543.436,621.762,724.085,805.289,763.304,518.087,608.281,647.483,625.55,698.523,786.467,889.402,992.22,1188.21,1417.849,1651.019,1633.654,2019.97,2348.655,2493.126,2578.858,2593.358,2525.239,2651.263,2860.757,3069.731,3266.58,3087.408,3398.469,3683.365,3799.207,3952.665,4123.377,4369.751,4648.377,4956.566,5280.752,5630.967
Sub-Saharan Africa (Region) ,331.204,346.446,347.294,323.647,259.866,236.196,269.514,296.703,316.918,330.224,422.761,429.672,426.858,426.475,414.557,507.864,568.597,592.997,594.825,438.559,443.81,427.518,462.827,580.685,714.215,845.396,976.521,1137.363,1302.044,1243.63,1471.072,1677.24,1742.776,1833.792,1921.294,1725.202,1604.93,1699.287,1815.006,1852.23,1734.613,1946.152,2083.686,2001.667,1884.397,1948.165,2062.631,2210.691,2377.046,2564.264,2765.968
Western Europe,3840.634,3430.992,3302.443,3211.155,3085.42,3201.645,4366.63,5403.182,6037.275,6142.707,7626.8,8113.063,8822.899,8018.128,8511.223,9765.014,9949.918,9356.469,9648.384,9669.572,8994.447,9060.274,9873.157,11983.458,13790.86,14370.735,15291.908,17540.101,18850.202,16925.164,16870.255,18318.403,17306.106,18020.344,18618.303,16391.385,16448.744,17207.144,18511.93,18137.858,17649.276,20073.309,19633.609,21124.298,22067.831,22724.518,23648.855,24509.682,25416.489,26357.37,27335.858
Western Hemisphere (Region),4024.481,4480.35,4453.121,4700.121,5151.422,5517.12,5764.229,6144.364,6710.261,7292.032,7769.587,8074.346,8543.541,9048.151,9695.51,10203.861,10829.116,11559.036,12052.242,12434.356,13317.109,13597.898,13720.761,14418.447,15604.153,17063.35,18468.066,19880.573,20893.792,20087.785,21920.278,23445.926,24231.959,24949.583,25577.035,25086.518,25377.89,26859.62,27840.325,28629.44,27511.056,30933.612,34166.126,36604.191,38307.663,39538.939,41139.63,42793.517,44648.031,46529.359,48529.579
ASEAN-5,208.639,229.269,239.197,233.223,242.907,234.883,228.952,241.508,278.672,318.986,363.369,406.573,460.837,515.3,588.415,682.569,758.546,714.207,467.858,553.957,587.767,564.573,633.787,712.337,798.144,885.81,1064.967,1272.689,1466.244,1442.416,1803.016,2079.545,2191.351,2252.206,2253.369,2177.95,2284.773,2463.239,2631.775,2781.24,2607.89,2897.168,3135.723,3229.276,3351.332,3483.219,3691.677,3924.688,4184.684,4461.234,4761.432
Advanced economies,8478.13,8613.564,8552.751,8900.581,9308.254,9800.652,11968.639,13916.889,15720.676,16400.732,18407.975,19663.666,21157.62,21326.953,22913.224,25382.574,25563.302,25064.386,25147.983,26493.407,26957.515,26684.738,27842.524,31238.071,34660.622,36486.946,38376.318,41926.807,44294.591,41796.873,43656.747,46890.18,46705.353,47171.297,48284.23,45704.434,46947.822,49009.783,51860.646,52399.625,51533.495,57558.482,58856.781,62179.665,64714.559,66868.255,69594.562,72251.524,75178.67,78052.014,81116.689
Emerging and Developing Asia,764.622,759.366,775,818.678,859.862,836.661,859.942,941.173,1050.583,1119.877,1124.698,1136.185,1286.421,1456.263,1519.959,1819.523,2061.913,2142.565,1985.362,2179.815,2339.509,2471.621,2710.464,3091.907,3587.588,4145.507,4927.03,6234.476,7509.732,8170.76,9842.143,11801.643,13007.368,14237.573,15381.723,16019.923,16500.293,18140.744,20011.641,20830.87,21061.165,24920.539,25472.431,25850.513,26733.343,27671.608,29506.834,31617.668,33875.779,36170.468,38571.441
Emerging and Developing Europe,262.395,273.786,278.746,277.058,267.564,275.819,291.205,311.994,353.439,370.208,375.032,357.478,489.617,660.665,723.169,868.402,989.212,1051.545,936.416,802.834,892.418,913.73,1034.197,1279.014,1648.881,2051.27,2449.515,3148.581,3881.95,3026.52,3533.023,4141.832,4274.284,4517.898,4254.883,3302.048,3233.106,3652.988,3833.369,3889.959,3638.33,4299.233,4853.336,5100.312,5572.347,5735.449,5843.526,6122.885,6451.225,6778.478,7114.212
Emerging market and developing economies,2757.26,2915.433,2759.768,2715.193,2721.554,2757.916,2829.164,3118.722,3434.771,3755.318,4233.389,4009.206,4202.891,4761.713,5137.011,5891.711,6585.347,7002.024,6755.052,6537.56,7192.496,7226.998,7187.931,8100.509,9619.499,11495.823,13608.158,16768.181,20146.649,19253.273,23140.076,27291.543,28923.02,30694.733,31699.224,29814.713,29869.205,32705.811,34911.093,35627.843,34230.654,40285.506,43091.46,44252.091,45834.884,46927.423,49500.843,52710.236,56158.153,59717.263,63459.636
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6116.23,6745.314,6130.922,6476.245,7643.425,7760.35,6969.933,7134.182,7152.338,6524.117,6622.737,7227.109,8906.314,10212.685,10605.219,11277.463,12994.498,14294.727,13072.002,12798.377,13808.527,12795.118,13358.652,13686.101,11829.267,12121.249,12835.883,13875.203,13589.484,13256.232,14927.716,14464.527,15789.108,16396.118,16818.956,17453.954,18034.453,18637.32,19250.03,19880.272
European Union,3209.429,2837.048,2749.832,2689.037,2588.735,2665.68,3656.066,4480.673,4950.012,5038.285,6202.85,6614.341,7296.784,6670.649,7080.437,8288.279,8422.222,7732.932,7967.916,7936.624,7283.954,7397.939,8085.038,9941.999,11430.646,11947.118,12756.246,14781.992,16361.932,14832.868,14653.879,15874.418,14741.854,15400.217,15768.826,13655.983,13986.925,14866.267,16098.723,15810.681,15495.537,17508.784,17007.799,18608.659,19412.831,19991.16,20799.377,21546.262,22321.628,23116.477,23937.286
Latin America and the Caribbean,876.656,950.123,777.918,706.956,737.882,791.647,783.62,832.096,938.278,1054.939,1179.769,1271.42,1394.21,1573.619,1788.657,1915.523,2080.053,2278.289,2301.327,2066.923,2259.825,2207.337,1958.966,1990.564,2280.182,2766.73,3245.834,3847.904,4477.439,4136.84,5155.577,5952.523,6048.082,6119.862,6060.714,5131.634,4940.657,5494.809,5357.541,5240.614,4398.114,5123.628,5855.248,6592.224,6760.531,6683.858,6964.65,7287.8,7631.919,8023.82,8446.189
Major advanced economies (G7),6899.738,7116.547,7084.008,7476.475,7867.149,8339.916,10092.714,11599.296,13042.348,13538.536,14971.837,16042.961,17228.793,17575.068,18798.778,20505.265,20470.046,20205.15,20473.245,21594.536,22112.21,21854.685,22533.722,24879.158,27331.248,28544.573,29771.997,31977.972,33541.878,31945.78,33179.381,35291.545,35446.386,35503.783,36379.786,34937.259,35928.783,37194.333,39234.801,39955.339,39251.335,43387.034,44654.504,47367.51,49289.609,51137.118,53198.408,55205.266,57463.233,59659.978,62006.2
Middle East and Central Asia,531.478,592.242,585.559,595.338,604.372,623.14,632.282,748.721,785.104,896.922,1135.804,819.682,611.722,652.439,699.266,789.885,896.776,949.647,950.793,1062.888,1272.628,1225.066,1042.228,1182.628,1418.578,1726.035,2059.61,2464.817,3046.837,2736.486,3211.156,3793.275,3908.08,4047.876,4150.172,3709.045,3664.125,3776.477,3937.511,3856.637,3445.278,4043.615,4873.403,4758.94,4927.489,4935.906,5176.461,5531.767,5888.504,6251.087,6636.291
Other advanced economies,775.449,791.214,786.416,785.236,823.48,821.24,1001.581,1233.565,1455.506,1583.962,1824.877,1939.533,2070.084,2046.506,2299.062,2712.209,2892.413,2801.577,2525.239,2708.151,2800.167,2716.243,2955.369,3403.82,3888.944,4292.395,4651.344,5319.437,5613.173,5160.863,5946.848,6791.218,6848.295,7086.085,7220.169,6649.635,6790.931,7299.837,7688.586,7556.351,7514.689,8743.249,8809.494,8905.531,9217.257,9286.841,9672.018,10075.197,10486.054,10896.138,11335.173
Sub-Saharan Africa,322.108,339.916,342.546,317.163,251.874,230.649,262.114,284.738,307.367,313.371,418.087,424.44,420.922,418.727,405.96,498.379,557.393,579.978,581.152,425.1,428.116,409.244,442.076,556.397,684.27,806.281,926.168,1072.404,1230.691,1182.667,1398.176,1602.269,1685.205,1771.524,1851.732,1652.062,1531.023,1640.793,1771.03,1809.764,1687.767,1898.491,2037.042,1950.102,1841.174,1900.602,2009.372,2150.115,2310.726,2493.41,2691.503
World,11235.39,11528.997,11312.52,11615.774,12029.808,12558.568,14797.802,17035.61,19155.446,20156.05,22641.364,23672.872,25360.511,26088.666,28050.234,31274.285,32148.648,32066.41,31903.034,33030.967,34150.012,33911.736,35030.455,39338.58,44280.121,47982.769,51984.475,58694.988,64441.24,61050.146,66796.823,74181.723,75628.373,77866.03,79983.454,75519.147,76817.027,81715.594,86771.739,88027.469,85764.149,97843.988,101948.241,106431.756,110549.443,113795.678,119095.405,124961.76,131336.823,137769.277,144576.326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
