"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.278,14.501,17.248,no data,no data,no data,no data,no data,no data,no data
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.565,67.805,62.53,67.161,65.586,62.171,68.136,82.596,100.471,120.148,137.264,156.236,189.845,236.82,207.095,211.169,231.429,210.363,213.024,210.911,189.108,198.161,221.564,251.992,256.794,251.11,290.973,301.831,343.207,344.931,360.244,376.684,390.799,406.038,422.083,438.859
Côte d'Ivoire,13.877,11.502,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.148,21.206,22.924,23.626,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,48.408,52.512,58.522,60.383,63.119,72.833,71.075,79.63,87.096,94.483,103.102,111.88,121.578,132.669,144.524
Denmark,70.811,61.46,60.084,60.331,58.869,62.452,87.749,109.183,115.54,112.312,138.219,139.182,152.966,143.11,156.019,184.85,187.482,173.242,176.876,177.887,164.043,164.881,178.788,218.422,251.988,265.15,283.387,320.213,354.977,322.621,322.346,344.316,326.793,344.631,352.833,301.759,312.182,331.611,355.293,345.402,355.631,408.378,401.946,407.092,429.458,449.94,473.665,493.376,512.752,533.284,554.224
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.65,0.672,0.655,0.691,0.699,0.694,0.706,0.722,0.759,0.781,0.811,0.837,0.882,0.936,0.996,1.08,1.191,1.382,1.426,1.544,1.74,1.901,2.044,2.221,2.424,2.605,2.763,2.913,3.089,3.144,3.393,3.563,3.917,4.257,4.587,4.959,5.335,5.745,6.126,6.596
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.498,0.52,0.541,0.576,0.522,0.555,0.612,0.504,0.555,0.607,0.654,0.697,0.742,0.782,0.821,0.86,0.899,0.939
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.174,48.281,53.862,58.006,60.627,62.631,67.098,71.056,75.625,79.153,85.068,89.237,78.625,95.067,113.813,120.794,124.613,127.828,135.112,144.828,155.291,166.422,178.498
Ecuador,16.116,16.501,16.474,14.478,15.408,18.02,13.222,12.355,11.749,11.531,11.71,13.139,14.367,16.783,20.238,21.98,23.001,25.847,26.292,18.891,17.531,23.127,27.054,30.965,35.195,40.279,45.691,49.849,61.139,60.095,68.151,78.987,87.735,96.57,102.718,97.21,97.671,104.467,107.479,107.596,95.865,107.179,116.133,121.147,121.728,125.677,130.31,135.35,140.863,146.638,152.588
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,294.482,303.194,321.634,350.119,351.443,246.826,263.156,317.894,382.525,423.3,475.231,393.828,383.109,347.342,389.04,432.812,480.602,532.288,586.889
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.021,26.881,24.921,29.043,31.989,34.016,35.337,36.749,38.476,40.354,42.364,44.312,46.436
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.07,3.733,5.935,8.191,10.096,13.091,19.828,15.072,16.328,21.354,22.403,21.949,21.771,13.187,11.238,12.197,13.309,11.365,9.908,12.222,13.717,12.339,12.544,12.684,12.894,12.998,13.293,13.821,14.575
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.791,2.507,3.909,4.785,5.16,5.678,5.771,5.707,6.265,7.393,9.894,12.161,14.129,17.049,22.478,24.434,19.694,19.569,23.3,23.252,25.451,27.063,23.314,24.554,27.46,31.237,31.877,31.795,37.229,38.406,41.303,42.752,45.004,47.816,50.261,52.643,54.99,57.366
